v001
|T-000100|en01|T|100
|T-000120|en01|T|300
|T-000150|en02|T|180
|T-000160|en02|T|220
|T-000300|en04|T|200
|T-000710|en01|R|100
|T-000720|en01|L|100
|T-000800|en01|T|150
|T-000800|en01|T|250
|T-000900|en02|T|050
|T-000920|en02|T|125
|T-001000|en02|T|350
|T-001020|en02|T|275
|T-001100|en04|T|200
|T-001220|en02|R|035
|T-001400|en01|T|080
|T-001450|en01|T|320
|T-001700|en01|T|060
|T-001700|en01|T|340
|T-001725|en02|T|190
|T-001725|en02|T|210
|T-001850|en04|T|100
|T-001850|en04|T|300
|T-002300|en01|T|040
|T-002300|en01|T|360
|T-002380|en01|T|075
|T-002380|en01|T|325
|T-002560|en01|T|125
|T-002560|en01|T|275
|T-003200|bo02|T|200
