v001
|T-000100|en01|T|100
|T-000110|en01|T|200
|T-000120|en01|T|300
|T-000200|en02|L|060
|T-000220|en02|R|060
|T-000300|en01|T|250
|T-000300|en01|T|150
|T-000400|en03|L|100
|T-000400|en03|R|100
|T-000700|en01|T|125
|T-000710|en01|T|175
|T-000720|en01|T|275
|T-000900|en01|T|050
|T-000900|en01|T|350
|T-001000|en03|L|025
|T-001000|en03|R|025
|T-001400|en01|T|025
|T-001430|en01|T|050
|T-001460|en01|T|075
|T-001490|en01|T|100
|T-001520|en01|T|125
|T-001550|en01|T|150
|T-001580|en01|T|175
|T-001610|en01|T|200
|T-001640|en01|T|225
|T-002000|en03|L|015
|T-002070|en03|L|025
|T-002140|en03|L|035
|T-002210|en03|L|045
|T-002210|en01|T|350
|T-002213|en01|T|325
|T-002325|en02|T|200
|T-002375|en02|T|220
|T-002425|en02|T|180
|T-003000|bo01|T|200
