v001
|T-000100|en06|T|100
|T-000110|en06|T|250
|T-000131|en06|T|325
|T-000137|en06|T|025
|T-000147|en06|T|130
|T-000161|en06|T|360
|T-000175|en06|T|140
|T-000189|en06|T|370
|T-000195|en06|T|040
|T-000199|en06|T|190
|T-000204|en06|T|310
|T-000210|en06|T|240
|T-000251|en05|T|200
|T-000382|en05|T|100
|T-000400|en05|T|300
|T-000400|en01|T|050
|T-000410|en01|T|035
|T-000420|en01|T|065
|T-000672|en06|T|200
|T-000620|en06|T|050
|T-000700|en05|T|100
|T-000701|en05|T|300
|T-000900|en01|T|350
|T-000910|en01|T|335
|T-000920|en01|T|365
|T-001200|en05|T|020
|T-001300|en05|T|380
|T-001300|en05|T|130
|T-001400|en05|T|270
|T-001400|en04|T|200
|T-001500|en06|T|030
|T-001505|en06|T|350
|T-001524|en06|T|240
|T-001551|en06|T|140
|T-002200|bo03|T|200
